time,type,thing,fisher,weight,worth,total
1717297386285,legendary,Croissant Shark,surfeus,1.12,281,281
1717297417233,junk,Trolley,staggerrilla,19.2,10,10
1717297438450,junk,Branch,bleepbloopinbot,0.51,2,2
1717297655931,junk,Soda Can,necroso7,0.09,1,1
1717298127895,rare,Nimbochromis,surfeus,2.63,57,338
1717298556748,rare,Piranha,necroso7,1.1,88,89
1717298619569,epic,Lion Fish,staggerrilla,1.02,122,132
1717298642617,rare,Clownfish,bleepbloopinbot,0.21,95,97
1717298678550,common,Black Spotted Grunt,teegreeen,4.32,17,17
1717298966149,uncommon,Oyster,sasha5889,0.47,57,57
1717299110290,rare,Olive Ridley Turtle,lightb0011,43,85,85
1717299224739,common,Black Spotted Grunt,necroso7,4.76,19,108
1717299817383,junk,Trolley,staggerrilla,16.4,8,140
1717299841616,epic,Powderblue Tang,bleepbloopinbot,0.71,143,240
1717299862593,junk,Nugget,crayzeyez,0.22,2,2
1717299925413,uncommon,Golden Redeye Rudd,dillmercy,0.67,34,34
1717299960355,common,Blue Discus,necroso7,0.18,18,126
1717300215621,junk,Coffee Cup,surfeus,0.21,2,340
1717300721558,junk,Henry's Shoe,necroso7,1.71,4,130
1717300898066,uncommon,Sea Urchin,surfeus,0.19,29,369
1717300929737,rare,Parrot Fish,LEONwubwub,1.79,62,62
1717301020947,epic,Orange Mandarin Fish,staggerrilla,0.2,178,318
1717301042272,common,Mussel,bleepbloopinbot,0.09,9,249
1717301206803,junk,Broken Sword,crayzeyez,1.11,111,113
1717301413919,common,Black Spotted Grunt,necroso7,5.2,21,151
1717301557812,common,Carp,giggles3888,8.5,16,16
1717302042109,junk,Funny Metal Tubes,sasha5889,0.18,2,59
1717302160652,junk,Branch,surfeus,0.43,2,371
1717302182363,uncommon,Starfish,necroso7,0.09,27,178
1717302218347,uncommon,Rabbitfish,staggerrilla,2.15,38,356
1717302239843,common,Trout,bleepbloopinbot,1.13,17,266
1717302420513,junk,Tire,madagascaradam,29,10,10
1717302749748,rare,Orange-Spotted Spinefoot,sasha5889,0.08,57,116
1717302770954,junk,Thong,ragnar175,0.19,2,2
1717302837850,junk,Coffee Cup,necroso7,0.19,2,180
1717302859998,junk,CB Longneck,surfeus,0.2,2,373
1717302913696,common,Pike,crayzeyez,0.92,9,122
1717303164604,epic,Powderblue Tang,madagascaradam,0.76,152,162
1717303408139,epic,Yellow Mandarin Fish,giggles3888,0.19,175,191
1717303430103,uncommon,Murex Shellfish,staggerrilla,0.5,40,396
1717303451570,common,Blue Discus,bleepbloopinbot,0.16,16,282
1717303887324,junk,CB Longneck,necroso7,0.22,2,182
1717304060663,uncommon,Streaked Spinefoot,ragnar175,0.2,39,41
1717304153719,rare,Arapaima,lightb0011,104,104,189
1717304280790,uncommon,Fish Fillet Burger,madagascaradam,0.83,4,166
1717304529171,junk,Trolley,necroso7,16.4,8,190
1717304551033,uncommon,Streaked Spinefoot,CHUCKY_XS,0.17,35,35
1717304618759,uncommon,Peacock Bass,staggerrilla,7.4,46,442
1717304640335,common,Mackerel,bleepbloopinbot,2,20,302
1717304863272,junk,CB Longneck,Hyper_Spectrum,0.22,2,2
1717305053403,junk,Traffic Cone,giggles3888,1.09,9,200
1717305219522,common,Black Spotted Grunt,necroso7,4.42,18,208
1717305554811,uncommon,Fish Fillet Burger,meneldur,0.98,5,5
1717305599468,common,Hermit Crab,ragnar175,1.06,21,62
1717305653275,epic,Orange Mandarin Fish,hehebhdjd,0.2,177,177
1717305675931,rare,Orangespined Unicornfish,hehebhdjd,1,75,252
1717305697768,common,Salmon,hehebhdjd,4.49,34,286
1717305718982,junk,Nugget,hehebhdjd,0.22,2,288
1717305740256,junk,Can,hehebhdjd,0.54,5,293
1717305763616,epic,Orange Discus,hehebhdjd,0.3,111,404
1717305785425,junk,Bike,hehebhdjd,10.7,32,436
1717305818033,junk,Thong,staggerrilla,0.18,2,444
1717305839553,common,Hermit Crab,bleepbloopinbot,0.93,19,321
1717305994104,epic,Orange Discus,necroso7,0.28,101,309
1717306017725,epic,Lion Fish,sasha5889,1.02,122,238
1717306089719,common,Salmon,le_bouffon_de_foucault,3.69,28,28
1717306435892,common,Mackerel,andrearghos,1.8,18,18
1717306458306,rare,Nimbochromis,sione89,2.87,62,62
1717306558572,rare,Red Discus,crayzeyez,0.43,97,219
1717306617648,common,Perch,sstop1231,3.02,30,30
1717306720672,common,Mackerel,necroso7,1.88,19,328
1717307018642,junk,Bike,staggerrilla,8.9,27,471
1717307040893,junk,Scooter,bleepbloopinbot,16.6,55,376
1717307064821,epic,Foureye Butterflyfish,surfeus,0.18,139,512
1717307086344,common,Black Spotted Grunt,lightb0011,4.43,18,207
1717307355766,common,Mussel,leonidovy4,0.1,10,10
1717307377489,uncommon,Sea Urchin,andireb,0.19,28,28
1717307413343,junk,Traffic Cone,necroso7,1.05,8,336
1717307505064,junk,Skateboard,giggles3888,2.59,43,243
1717307618598,legendary,Joel the Sturgeon,sione89,310,310,372
1717307661409,common,Atlantic Cod,crayzeyez,35,27,246
1717307684503,rare,Red Discus,sirhunterr,0.42,94,94
1717308025904,rare,Red Discus,necroso7,0.37,83,419
1717308067907,rare,Green Sea Turtle,sasha5889,153,67,305
1717308218985,common,Trout,staggerrilla,0.92,14,485
1717308240459,common,Black Spotted Grunt,bleepbloopinbot,4.18,17,393
1717308315040,uncommon,Golden Redeye Rudd,leonidovy4,0.68,34,44
1717308340402,epic,Old PC,surfeus,21,209,721
1717308554575,uncommon,Butterfly Fish,madagascaradam,0.09,39,205
1717308642491,junk,Fish Cracker,necroso7,0.53,5,424
1717308982307,uncommon,Koi,lightb0011,15.2,60,267
1717309029565,junk,Henry's Shoe,sasha5889,1.96,5,310
1717309052532,rare,Red Discus,surfeus,0.4,89,810
1717309073850,junk,Mug,cagliostro_games,0.47,9,9
1717309198291,uncommon,Streaked Spinefoot,sirhunterr,0.19,39,133
1717309251630,uncommon,Watch,necroso7,0.22,55,479
1717309273065,common,Trout,madagascaradam,0.95,14,219
1717309418921,uncommon,Starfish,staggerrilla,0.1,31,516
1717309440852,uncommon,Rabbitfish,bleepbloopinbot,2.17,38,431
1717309716383,common,Hermit Crab,crayzeyez,1.1,22,268
1717309776884,uncommon,Butterfly Fish,sstop1231,0.1,47,77
1717309884595,junk,Soda Can,kot1001,0.1,1,1
1717309905794,junk,Branch,necroso7,0.51,2,481
1717310316911,uncommon,Peacock Bass,andrearghos,7.6,47,65
1717310553867,junk,VHS Tape,necroso7,0.55,22,503
1717310577984,uncommon,Rabbitfish,2vlkn4,2.04,36,36
1717310600623,rare,Oreochromis,lightb0011,2.21,74,341
1717310621989,common,Mussel,staggerrilla,0.11,11,527
